Date,Hospital Admissions,Discharged,Deaths,Available Beds For Covid-19,Available Ventilators for Covid-19
26-05-2020,,9342,127,,
25-05-2020,,8731,118,,
24-05-2020,,8324,111,,
23-05-2020,,7491,103,,
22-05-2020,,7128,98,,
21-05-2020,,6282,94,,
20-05-2020,,5882,87,,
19-05-2020,,4895,84,,
18-05-2020,,4406,81,,
17-05-2020,,4172,78,,
16-05-2020,,3538,74,,
15-05-2020,,2599,71,,
14-05-2020,,2240,66,,
13-05-2020,,2176,64,,
12-05-2020,,2134,61,,
11-05-2020,,2051,53,,
10-05-2020,,1959,47,,
09-05-2020,,1824,44,,
08-05-2020,,1605,40,,
07-05-2020,,1547,37,,
06-05-2020,,1516,35,,
05-05-2020,,1485,33,,
04-05-2020,,1409,31,,
03-05-2020,2362,1379,30,,
02-05-2020,2099,1341,29,,
01-05-2020,2013,1312,28,,
30-04-2020,1978,1258,27,,
29-04-2020,1821,1210,27,,
28-04-2020,1856,1128,25,,
27-04-2020,1870,1101,24,,
26-04-2020,1838,1020,24,29074,3371
25-04-2020,1865,960,23,29074,3371
24-04-2020,1846,866,22,29074,3371
23-04-2020,1787,752,20,29074,3371
22-04-2020,1878,662,18,29074,3371
21-04-2020,1917,635,18,29074,3371
20-04-2020,2012,457,17,29074,3371
19-04-2020,1987,411,15,29074,3371
18-04-2020,1884,365,15,29074,3371
17-04-2020,1891,283,15,29074,3371
16-04-2020,1882,180,15,29074,3371
15-04-2020,1876,118,14,29074,3371
14-04-2020,1870,81,12,29074,3371
13-04-2020,1984,58,11,29074,3371
12-04-2020,1890,50,11,29074,3371
11-04-2020,1884,44,,29074,3371
10-04-2020,1987,44,,29074,3371
09-04-2020,2042,27,,29074,3371
08-04-2020,1953,21,,22049,3371
07-04-2020,1864,19,,22049,3371
06-04-2020,1766,8,,22049,3371
05-04-2020,1848,8,,22049,3371
04-04-2020,1681,8,,22049,3371
03-04-2020,1580,7,,23689,3396
02-04-2020,1335,7,,22049,3371
01-04-2020,995,6,,22049,3371
31-03-2020,630,6,,22049,3371
30-03-2020,364,5,,17089,3018
29-03-2020,295,2,,13323,3018
28-03-2020,,2,,13323,3044
27-03-2020,277,1,,12955,3018
26-03-2020,284,1,,13727,2464
25-03-2020,211,1,,,
24-03-2020,116,1,,9154,
23-03-2020,89,1,,9266,
22-03-2020,54,1,,2069,
21-03-2020,54,1,,1120,
20-03-2020,32,1,,1120,
19-03-2020,39,1,,1120,
18-03-2020,32,0,,1120,
17-03-2020,24,0,,1120,
16-03-2020,22,0,,,
15-03-2020,15,0,,,
14-03-2020,7,0,,,
13-03-2020,6,0,,,
12-03-2020,10,0,,,
11-03-2020,9,0,,,
10-03-2020,5,0,,,
09-03-2020,5,0,,,
